[0] 				[0]
[1, 1, 6] 			[0, 40, 1]
[1, 1, 8] 			[0, 40, 1]
[1, 2] 				[0, 40]
[1, 3] 				[0, 40]
[1, 4] 				[0, 40]
[1, 5] 				[0, 40]
[1, 6] 				[0, 40]
[1, 7] 				[0, 40]
[2, 1] 				[0, 62]
[2, 0] 				[0, 62]
[2, 2, 2] 			[0, 62, 2]
[2, 2, 5] 			[0, 62, 2]
[2, 2, 4] 			[0, 62, 2]
[2, 2, 6] 			[0, 62, 2]
[2, 3, 2] 			[0, 62, 16]
[2, 3, 3] 			[0, 62, 16]
[2, 3, 4] 			[0, 62, 16]
[2, 3, 5] 			[0, 62, 16]
[2, 3, 6] 			[0, 62, 16]
[2, 4, 2] 			[0, 62, 53]
[2, 4, 3] 			[0, 62, 53]
[2, 4, 4] 			[0, 62, 53]
[2, 4, 5, 2] 		[0, 62, 53, 1]
[2, 4, 5, 4] 		[0, 62, 53, 1]
[2, 4, 5, 5] 		[0, 62, 53, 1]
[2, 4, 6] 			[0, 62, 53]
[2, 4, 7] 			[0, 62, 53]
[2, 5, 1] 			[0, 62, 17]
[2, 5, 2] 			[0, 62, 17]
[2, 5, 3] 			[0, 62, 17]
[2, 5, 4] 			[0, 62, 17]
[2, 5, 5, 2] 		[0, 62, 17, 1]
[2, 5, 5, 4] 		[0, 62, 17, 1]
[2, 5, 6] 			[0, 62, 17]
[2, 6] 				[0, 62]
[2, 7] 				[0, 62]
[3, 0] 				[0, 160]
[3, 1] 				[0, 160]
[3, 2, 2] 			[0, 160, 3]
[3, 2, 3] 			[0, 160, 3]
[3, 2, 4] 			[0, 160, 3]
[3, 2, 5] 			[0, 160, 3]
[3, 2, 6] 			[0, 160, 3]
[3, 3, 1] 			[0, 160, 75]
[3, 3, 2] 			[0, 160, 75]
[3, 3, 3] 			[0, 160, 75]
[3, 3, 4, 0] 		[0, 160, 75, 220]
[3, 3, 4, 1] 		[0, 160, 75, 220]
[3, 3, 4, 2] 		[0, 160, 75, 220]
[3, 3, 4, 3, 3] 	[0, 160, 75, 220, 1]
[3, 3, 4, 3, 4] 	[0, 160, 75, 220, 1]
[3, 3, 4, 4] 		[0, 160, 75, 220]
[3, 3, 4, 5, 3] 	[0, 160, 75, 220, 1]
[3, 3, 4, 5, 6] 	[0, 160, 75, 220, 1]
[3, 3, 4, 6] 		[0, 160, 75, 220]
[3, 3, 4, 7] 		[0, 160, 75, 220]
[3, 3, 5, 4] 		[0, 160, 75, 4]
[3, 3, 5, 5] 		[0, 160, 75, 4]
[3, 3, 5, 6] 		[0, 160, 75, 4]
[3, 3, 6] 			[0, 160, 75]
[3, 3, 7] 			[0, 160, 75]
[3, 4, 1, 2] 		[0, 160, 255, 1]
[3, 4, 1, 4] 		[0, 160, 255, 1]
[3, 4, 2] 			[0, 160, 255]
[3, 4, 3] 			[0, 160, 255]
[3, 4, 4] 			[0, 160, 255]
[3, 4, 5, 3] 		[0, 160, 255, 4]
[3, 4, 5, 5] 		[0, 160, 255, 4]
[3, 4, 5, 7] 		[0, 160, 255, 4]
[3, 4, 6] 			[0, 160, 255]
[3, 4, 7] 			[0, 160, 255]
[3, 4, 8] 			[0, 160, 255]
[3, 5, 1] 			[0, 160, 103]
[3, 5, 2] 			[0, 160, 103]
[3, 5, 3, 3] 		[0, 160, 103, 1]
[3, 5, 3, 5] 		[0, 160, 103, 1]
[3, 5, 4, 2] 		[0, 160, 103, 1]
[3, 5, 4, 3] 		[0, 160, 103, 1]
[3, 5, 4, 4] 		[0, 160, 103, 1]
[3, 5, 4, 7]		[0, 160, 103, 1]
[3, 5, 5, 4] 		[0, 160, 103, 1]
[3, 5, 5, 5] 		[0, 160, 103, 1]
[3, 5, 6] 			[0, 160, 103]
[3, 5, 7] 			[0, 160, 103]
[3, 5, 8] 			[0, 160, 103]
[3, 6, 2] 			[0, 160, 7]
[3, 6, 3] 			[0, 160, 7]
[3, 6, 4] 			[0, 160, 7]
[3, 6, 5] 			[0, 160, 7]
[3, 6, 7] 			[0, 160, 7]
[3, 7] 				[0, 160]
[3, 8] 				[0, 160]
[4, 0] 				[0, 78]
[4, 1] 				[0, 78]
[4, 2, 0] 			[0, 78, 20]
[4, 2, 2] 			[0, 78, 20]
[4, 2, 3, 2] 		[0, 78, 20, 1]
[4, 2, 3, 4] 		[0, 78, 20, 1]
[4, 2, 3, 6] 		[0, 78, 20, 1]
[4, 2, 4, 3] 		[0, 78, 20, 2]
[4, 2, 4, 4] 		[0, 78, 20, 2]
[4, 2, 4, 5] 		[0, 78, 20, 2]
[4, 2, 4, 7] 		[0, 78, 20, 2]
[4, 2, 5] 			[0, 78, 20]
[4, 2, 6] 			[0, 78, 20]
[4, 2, 7] 			[0, 78, 20]
[4, 3, 1] 			[0, 78, 86]
[4, 3, 2] 			[0, 78, 86]
[4, 3, 3] 			[0, 78, 86]
[4, 3, 4, 1] 		[0, 78, 86, 3]
[4, 3, 4, 2] 		[0, 78, 86, 3]
[4, 3, 4, 3] 		[0, 78, 86, 3]
[4, 3, 4, 4] 		[0, 78, 86, 3]
[4, 3, 4, 5] 		[0, 78, 86, 3]
[4, 3, 4, 6, 3] 	[0, 78, 86, 3, 2]
[4, 3, 4, 6, 4] 	[0, 78, 86, 3, 2]
[4, 3, 6] 			[0, 78, 86]
[4, 3, 7] 			[0, 78, 86]
[4, 4, 1] 			[0, 78, 135]
[4, 4, 2] 			[0, 78, 135]
[4, 4, 3, 2] 		[0, 78, 135, 3]
[4, 4, 3, 3] 		[0, 78, 135, 3]
[4, 4, 3, 4] 		[0, 78, 135, 3]
[4, 4, 3, 6] 		[0, 78, 135, 3]
[4, 4, 4, 2] 		[0, 78, 135, 9]
[4, 4, 4, 4] 		[0, 78, 135, 9]
[4, 4, 4, 5] 		[0, 78, 135, 9]
[4, 4, 5, 5] 		[0, 78, 135, 1]
[4, 4, 5, 6] 		[0, 78, 135, 1]
[4, 4, 5, 7] 		[0, 78, 135, 1]
[4, 4, 6, 3] 		[0, 78, 135, 5]
[4, 4, 6, 4] 		[0, 78, 135, 5]
[4, 4, 6, 5] 		[0, 78, 135, 5]
[4, 4, 6, 6] 		[0, 78, 135, 5]
[4, 4, 7] 			[0, 78, 135]
[4, 4, 8] 			[0, 78, 135]
[4, 5, 1] 			[0, 78, 106]
[4, 5, 2] 			[0, 78, 106]
[4, 5, 3, 1] 		[0, 78, 106, 7]
[4, 5, 3, 3] 		[0, 78, 106, 7]
[4, 5, 3, 4] 		[0, 78, 106, 7]
[4, 5, 3, 6] 		[0, 78, 106, 7]
[4, 5, 4, 7] 		[0, 78, 106, 108]
[4, 5, 4, 5] 		[0, 78, 106, 108]
[4, 5, 4, 6] 		[0, 78, 106, 108]
[4, 5, 4, 4] 		[0, 78, 106, 108]
[4, 5, 4, 3] 		[0, 78, 106, 108]
[4, 5, 4, 1] 		[0, 78, 106, 108]
[4, 5, 5, 1] 		[0, 78, 106, 41]
[4, 5, 5, 3] 		[0, 78, 106, 41]
[4, 5, 5, 4] 		[0, 78, 106, 41]
[4, 5, 5, 5] 		[0, 78, 106, 41]
[4, 5, 5, 6] 		[0, 78, 106, 41]
[4, 5, 6, 3] 		[0, 78, 106, 1]
